Game Type,Matchup,X Wins,O Wins,Ties,Average X Move Time (s),Average O Move Time (s),Total Moves,Blocked Wins (X),Blocked Wins (O),Missed Wins (X),Missed Wins (O),X Depth,O Depth,X Iterations,O Iterations,X Exploration Constant,O Exploration Constant
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3171748518943786,0.0,7,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3151571750640869,0.0021661520004272,8,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2482749462127685,0.0,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2401438236236572,0.0007550120353698,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.362096627553304,0.0007834434509277,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3125743269920349,0.0001143813133239,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3700017134348551,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3091980218887329,0.0005115866661071,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.2989934682846069,0.0002502799034118,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3385923504829407,0.0008130669593811,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4125845432281494,0.0,6,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2916115760803223,0.0002499818801879,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2912993431091308,0.0011690258979797,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3179959774017334,0.0011260509490966,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4468535582224528,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4318099816640218,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3052783012390136,4.112720489501953e-05,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3127852916717529,0.0005201697349548,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3146100521087646,0.0,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2935247898101806,2.193450927734375e-05,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3179489970207214,0.0007528662681579,8,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2961874485015869,0.0003808140754699,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2837626457214355,0.0015158653259277,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.2961446046829223,0.0010192990303039,8,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2375679492950439,0.0,9,2,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2823123455047607,0.0,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.2761858940124512,0.0,9,0,1,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4112591743469238,0.0,6,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3103755950927734,0.0008771419525146,9,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3546324372291565,0.0002541542053222,8,1,1,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2891422748565674,0.0002517104148864,9,2,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3586601018905639,0.0007141232490539,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3239884376525879,0.00016450881958,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4498168627421061,0.0006718635559082,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3112293243408203,0.0002514719963073,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3837799429893493,0.0006814797719319,7,1,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3209854960441589,0.0003762245178222,8,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4480323791503906,0.000335137049357,6,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3160326480865478,0.0002528429031372,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3346062302589416,0.0001680056254069,7,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2631801605224609,0.0003760457038879,9,0,2,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3485881487528483,0.0003353754679361,6,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3135870099067688,0.0006337761878967,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.2674681663513183,0.0,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3141070604324341,0.0002513527870178,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3135045170783996,0.0002517700195312,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3582287629445393,0.0006681283315022,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3724695046742757,0.0006685256958007,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2712213516235351,0.000501811504364,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2672900199890137,0.0007790327072143,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3129109740257263,0.0002538561820983,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2581523418426513,0.000377595424652,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.287311315536499,0.0005012154579162,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3960702419281006,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.421958843866984,0.0006721019744873,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3946535587310791,0.0006697177886962,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3704343438148498,0.0008807778358459,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4136720498402913,0.0023621718088785,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3876293897628784,0.0,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3952702283859253,0.000545859336853,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3007678508758545,0.0013155341148376,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3693888187408447,0.0009308457374572,8,0,1,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3224488258361816,0.0007539391517639,9,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4281056722005208,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3084364414215088,0.0,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3805598020553589,0.0008718172709147,7,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4471322695414225,0.000368595123291,6,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2979635238647461,0.0006343126296997,9,2,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.298747444152832,0.0,9,2,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3397358894348145,0.0002491474151611,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4786779880523681,0.0003386338551839,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2915296077728271,0.0,9,2,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3111274719238281,0.0004894137382507,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4266711870829264,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3274081707000732,0.0001378059387207,9,1,2,0,0,,2.0,1500.0,,20.0,
